step,full_kelly,half_kelly
148,3.587887812099467,3.360855569810762
149,5.157201119483709,4.095861183993308
150,4.456720978063344,3.8176997011530727
151,4.413195096870505,3.7990572121527255
152,5.101737499247186,4.095419815913097
153,4.7732842224347065,3.9635868806966235
154,4.18321845709678,3.7186007435576247
155,5.575657720229648,4.337493317821877
156,5.536547032267883,4.3222805522432015
157,7.454027332281321,5.070751373655392
158,7.3974412069233555,5.0515044511463945
159,6.928569833061505,4.891414917088215
160,6.213875572033221,4.639135857067081
161,6.719246047783812,4.827784814386843
162,5.872908280039457,4.5237375601338226
163,10.974701736604821,6.488622212083014
164,10.681599412309955,6.401976110098779
165,12.461123995125767,6.935251766054906
